actor_id,actor_name,game_position,message_participation_count
1,"Bob Brown: Database Administrator","Day 5",1
2,"Red Eye: Civic Officer","Day 5",1
3,"Corona Virus: IT Associate","Day 5",1
4,"Warrior: Emergency Response Specialist","Day 5",1
5,"Blue Team","Day 5",3
6,"Adam Applin: Database Administrator","Day 5",1
7,"Cinder Crash: Civic Officer","Day 5",1
8,"Draymond DK: IT Associate","Day 5",1
9,"Buster Boost: Emergency Response Specialist","Day 5",1
10,"Red Team","Day 5",3
11,"Mordecai Simple: Database Administrator","Day 5",1
12,"Contra Ease: Civic Officer","Day 5",1
13,"Kei Kaku: IT Associate","Day 5",2
14,"Eve Olve: Emergency Response Specialist","Day 5",2
15,"Green Team","Day 5",3
16,"Hannibal Broly: Civic Officer","Day 5",1
17,"Rena Logan: IT Associate","Day 5",1
18,"Barney Miles: Database Administrator","Day 5",1
19,"Kim Hines: Emergency Response Specialist","Day 5",3
20,"Magenta Team","Day 5",1
21,"Ariel: Emergency Response Specialist","Day 5",0
22,"Kevin Thorn: Database Administrator","Day 5",0
23,"Gangrel: IT Associate","Day 5",0
24,"Vampiro: Civic Officer","Day 5",0
25,"Crimson Team","Day 5",2
26,"Charles Wright: Database Administrator","Day 5",1
27,"Manfred Von Karma: Civic Officer","Day 5",1
28,"Speed Racer: IT Associate","Day 5",1
29,"Harold Jordan: Emergency Response Specialist","Day 5",1
30,"Purple Team","Day 5",3
31,"The Big Bad Boss","Day 5",10
