actor_id,actor_name,game_position,message_participation_count
1,"Bob Brown: Database Administrator","Day 4",1
2,"Red Eye: Civic Officer","Day 4",2
3,"Corona Virus: IT Associate","Day 4",1
4,"Warrior: Emergency Response Specialist","Day 4",2
5,"Blue Team","Day 4",1
6,"Adam Applin: Database Administrator","Day 4",2
7,"Cinder Crash: Civic Officer","Day 4",2
8,"Draymond DK: IT Associate","Day 4",3
9,"Buster Boost: Emergency Response Specialist","Day 4",3
10,"Red Team","Day 4",3
11,"Mordecai Simple: Database Administrator","Day 4",1
12,"Contra Ease: Civic Officer","Day 4",1
13,"Kei Kaku: IT Associate","Day 4",1
14,"Eve Olve: Emergency Response Specialist","Day 4",1
15,"Green Team","Day 4",1
16,"Hannibal Broly: Civic Officer","Day 4",0
17,"Rena Logan: IT Associate","Day 4",0
18,"Barney Miles: Database Administrator","Day 4",0
19,"Kim Hines: Emergency Response Specialist","Day 4",2
20,"Magenta Team","Day 4",0
21,"Ariel: Emergency Response Specialist","Day 4",0
22,"Kevin Thorn: Database Administrator","Day 4",0
23,"Gangrel: IT Associate","Day 4",0
24,"Vampiro: Civic Officer","Day 4",0
25,"Crimson Team","Day 4",1
26,"Charles Wright: Database Administrator","Day 4",0
27,"Manfred Von Karma: Civic Officer","Day 4",2
28,"Speed Racer: IT Associate","Day 4",0
29,"Harold Jordan: Emergency Response Specialist","Day 4",2
30,"Purple Team","Day 4",3
31,"The Big Bad Boss","Day 4",7
