actor_id,actor_name,game_position,message_participation_count
1,"Bob Brown: Database Administrator","Day 3",1
2,"Red Eye: Civic Officer","Day 3",1
3,"Corona Virus: IT Associate","Day 3",1
4,"Warrior: Emergency Response Specialist","Day 3",1
5,"Blue Team","Day 3",2
6,"Adam Applin: Database Administrator","Day 3",2
7,"Cinder Crash: Civic Officer","Day 3",1
8,"Draymond DK: IT Associate","Day 3",1
9,"Buster Boost: Emergency Response Specialist","Day 3",2
10,"Red Team","Day 3",2
11,"Mordecai Simple: Database Administrator","Day 3",2
12,"Contra Ease: Civic Officer","Day 3",1
13,"Kei Kaku: IT Associate","Day 3",1
14,"Eve Olve: Emergency Response Specialist","Day 3",0
15,"Green Team","Day 3",1
16,"Hannibal Broly: Civic Officer","Day 3",2
17,"Rena Logan: IT Associate","Day 3",2
18,"Barney Miles: Database Administrator","Day 3",2
19,"Kim Hines: Emergency Response Specialist","Day 3",4
20,"Magenta Team","Day 3",1
21,"Ariel: Emergency Response Specialist","Day 3",0
22,"Kevin Thorn: Database Administrator","Day 3",0
23,"Gangrel: IT Associate","Day 3",0
24,"Vampiro: Civic Officer","Day 3",0
25,"Crimson Team","Day 3",3
26,"Charles Wright: Database Administrator","Day 3",0
27,"Manfred Von Karma: Civic Officer","Day 3",2
28,"Speed Racer: IT Associate","Day 3",0
29,"Harold Jordan: Emergency Response Specialist","Day 3",2
30,"Purple Team","Day 3",1
31,"The Big Bad Boss","Day 3",8
