actor_id,actor_name,game_position,message_participation_count
1,"Bob Brown: Database Administrator","Day 2",1
2,"Red Eye: Civic Officer","Day 2",1
3,"Corona Virus: IT Associate","Day 2",1
4,"Warrior: Emergency Response Specialist","Day 2",1
5,"Blue Team","Day 2",2
6,"Adam Applin: Database Administrator","Day 2",1
7,"Cinder Crash: Civic Officer","Day 2",3
8,"Draymond DK: IT Associate","Day 2",0
9,"Buster Boost: Emergency Response Specialist","Day 2",2
10,"Red Team","Day 2",2
11,"Mordecai Simple: Database Administrator","Day 2",2
12,"Contra Ease: Civic Officer","Day 2",0
13,"Kei Kaku: IT Associate","Day 2",0
14,"Eve Olve: Emergency Response Specialist","Day 2",2
15,"Green Team","Day 2",1
16,"Hannibal Broly: Civic Officer","Day 2",1
17,"Rena Logan: IT Associate","Day 2",1
18,"Barney Miles: Database Administrator","Day 2",1
19,"Kim Hines: Emergency Response Specialist","Day 2",4
20,"Magenta Team","Day 2",0
21,"Ariel: Emergency Response Specialist","Day 2",0
22,"Kevin Thorn: Database Administrator","Day 2",0
23,"Gangrel: IT Associate","Day 2",0
24,"Vampiro: Civic Officer","Day 2",0
25,"Crimson Team","Day 2",1
26,"Charles Wright: Database Administrator","Day 2",0
27,"Manfred Von Karma: Civic Officer","Day 2",2
28,"Speed Racer: IT Associate","Day 2",0
29,"Harold Jordan: Emergency Response Specialist","Day 2",2
30,"Purple Team","Day 2",2
31,"The Big Bad Boss","Day 2",8
