actor_id,actor_name,game_position,message_participation_count
1,"Bob Brown: Database Administrator","Day 1",6
2,"Red Eye: Civic Officer","Day 1",7
3,"Corona Virus: IT Associate","Day 1",6
4,"Warrior: Emergency Response Specialist","Day 1",7
5,"Blue Team","Day 1",10
6,"Adam Applin: Database Administrator","Day 1",9
7,"Cinder Crash: Civic Officer","Day 1",9
8,"Draymond DK: IT Associate","Day 1",7
9,"Buster Boost: Emergency Response Specialist","Day 1",11
10,"Red Team","Day 1",12
11,"Mordecai Simple: Database Administrator","Day 2",7
12,"Contra Ease: Civic Officer","Day 4",4
13,"Kei Kaku: IT Associate","Day 4",5
14,"Eve Olve: Emergency Response Specialist","Day 2",6
15,"Green Team","Day 1",8
16,"Hannibal Broly: Civic Officer","Day 1",6
17,"Rena Logan: IT Associate","Day 1",6
18,"Barney Miles: Database Administrator","Day 1",6
19,"Kim Hines: Emergency Response Specialist","Day 1",16
20,"Magenta Team","Day 1",3
25,"Crimson Team","Day 1",9
26,"Charles Wright: Database Administrator","Day 1",3
27,"Manfred Von Karma: Civic Officer","Day 1",11
28,"Speed Racer: IT Associate","Day 1",4
29,"Harold Jordan: Emergency Response Specialist","Day 1",12
30,"Purple Team","Day 1",11
31,"The Big Bad Boss","Day 1",40
