actor_id,actor_name,message_actions,game_position
1,"Bob Brown: Database Administrator",2,"Day 1"
2,"Red Eye: Civic Officer",2,"Day 1"
3,"Corona Virus: IT Associate",2,"Day 1"
4,"Warrior: Emergency Response Specialist",2,"Day 1"
6,"Adam Applin: Database Administrator",3,"Day 1"
7,"Cinder Crash: Civic Officer",2,"Day 1"
8,"Draymond DK: IT Associate",2,"Day 1"
9,"Buster Boost: Emergency Response Specialist",3,"Day 1"
11,"Mordecai Simple: Database Administrator",1,"Day 1"
12,"Contra Ease: Civic Officer",1,"Day 1"
13,"Kei Kaku: IT Associate",1,"Day 1"
14,"Eve Olve: Emergency Response Specialist",1,"Day 1"
16,"Hannibal Broly: Civic Officer",2,"Day 1"
17,"Rena Logan: IT Associate",2,"Day 1"
18,"Barney Miles: Database Administrator",2,"Day 1"
19,"Kim Hines: Emergency Response Specialist",3,"Day 1"
26,"Charles Wright: Database Administrator",2,"Day 1"
27,"Manfred Von Karma: Civic Officer",4,"Day 1"
28,"Speed Racer: IT Associate",3,"Day 1"
29,"Harold Jordan: Emergency Response Specialist",5,"Day 1"
1,"Bob Brown: Database Administrator",1,"Day 2"
2,"Red Eye: Civic Officer",1,"Day 2"
3,"Corona Virus: IT Associate",1,"Day 2"
4,"Warrior: Emergency Response Specialist",1,"Day 2"
6,"Adam Applin: Database Administrator",1,"Day 2"
7,"Cinder Crash: Civic Officer",3,"Day 2"
9,"Buster Boost: Emergency Response Specialist",2,"Day 2"
11,"Mordecai Simple: Database Administrator",2,"Day 2"
14,"Eve Olve: Emergency Response Specialist",2,"Day 2"
16,"Hannibal Broly: Civic Officer",1,"Day 2"
17,"Rena Logan: IT Associate",1,"Day 2"
18,"Barney Miles: Database Administrator",1,"Day 2"
19,"Kim Hines: Emergency Response Specialist",4,"Day 2"
27,"Manfred Von Karma: Civic Officer",2,"Day 2"
29,"Harold Jordan: Emergency Response Specialist",2,"Day 2"
1,"Bob Brown: Database Administrator",1,"Day 3"
2,"Red Eye: Civic Officer",1,"Day 3"
3,"Corona Virus: IT Associate",1,"Day 3"
4,"Warrior: Emergency Response Specialist",1,"Day 3"
6,"Adam Applin: Database Administrator",2,"Day 3"
7,"Cinder Crash: Civic Officer",1,"Day 3"
8,"Draymond DK: IT Associate",1,"Day 3"
9,"Buster Boost: Emergency Response Specialist",2,"Day 3"
11,"Mordecai Simple: Database Administrator",2,"Day 3"
12,"Contra Ease: Civic Officer",1,"Day 3"
13,"Kei Kaku: IT Associate",1,"Day 3"
16,"Hannibal Broly: Civic Officer",2,"Day 3"
17,"Rena Logan: IT Associate",2,"Day 3"
18,"Barney Miles: Database Administrator",2,"Day 3"
19,"Kim Hines: Emergency Response Specialist",4,"Day 3"
27,"Manfred Von Karma: Civic Officer",2,"Day 3"
29,"Harold Jordan: Emergency Response Specialist",2,"Day 3"
1,"Bob Brown: Database Administrator",1,"Day 4"
2,"Red Eye: Civic Officer",2,"Day 4"
3,"Corona Virus: IT Associate",1,"Day 4"
4,"Warrior: Emergency Response Specialist",2,"Day 4"
6,"Adam Applin: Database Administrator",2,"Day 4"
7,"Cinder Crash: Civic Officer",2,"Day 4"
8,"Draymond DK: IT Associate",3,"Day 4"
9,"Buster Boost: Emergency Response Specialist",3,"Day 4"
11,"Mordecai Simple: Database Administrator",1,"Day 4"
12,"Contra Ease: Civic Officer",1,"Day 4"
13,"Kei Kaku: IT Associate",1,"Day 4"
14,"Eve Olve: Emergency Response Specialist",1,"Day 4"
19,"Kim Hines: Emergency Response Specialist",2,"Day 4"
27,"Manfred Von Karma: Civic Officer",2,"Day 4"
29,"Harold Jordan: Emergency Response Specialist",2,"Day 4"
1,"Bob Brown: Database Administrator",1,"Day 5"
2,"Red Eye: Civic Officer",1,"Day 5"
3,"Corona Virus: IT Associate",1,"Day 5"
4,"Warrior: Emergency Response Specialist",1,"Day 5"
6,"Adam Applin: Database Administrator",1,"Day 5"
7,"Cinder Crash: Civic Officer",1,"Day 5"
8,"Draymond DK: IT Associate",1,"Day 5"
9,"Buster Boost: Emergency Response Specialist",1,"Day 5"
11,"Mordecai Simple: Database Administrator",1,"Day 5"
12,"Contra Ease: Civic Officer",1,"Day 5"
13,"Kei Kaku: IT Associate",2,"Day 5"
14,"Eve Olve: Emergency Response Specialist",2,"Day 5"
16,"Hannibal Broly: Civic Officer",1,"Day 5"
17,"Rena Logan: IT Associate",1,"Day 5"
18,"Barney Miles: Database Administrator",1,"Day 5"
19,"Kim Hines: Emergency Response Specialist",3,"Day 5"
26,"Charles Wright: Database Administrator",1,"Day 5"
27,"Manfred Von Karma: Civic Officer",1,"Day 5"
28,"Speed Racer: IT Associate",1,"Day 5"
29,"Harold Jordan: Emergency Response Specialist",1,"Day 5"
